"Year","Annual Average Mean Surface Air Temperature","Trend 1951-2020","Trend 1971-2020","Trend 1991-2020"
1950,7.75,,,
1951,8.12,8.138893360160953,,
1952,8.41,8.154296037092106,,
1953,8.19,8.169698714023259,,
1954,7.51,8.18510139095441,,
1955,7.61,8.200504067885563,,
1956,7.93,8.215906744816715,,
1957,8.36,8.231309421747868,,
1958,8.6,8.24671209867902,,
1959,8.3,8.262114775610172,,
1960,8.77,8.277517452541325,,
1961,8.67,8.292920129472478,,
1962,8.86,8.30832280640363,,
1963,8.49,8.323725483334782,,
1964,8.4,8.339128160265934,,
1965,8.35,8.354530837197087,,
1966,8.29,8.36993351412824,,
1967,8.21,8.385336191059391,,
1968,8.65,8.400738867990544,,
1969,8.56,8.416141544921697,,
1970,8.38,8.43154422185285,,
1971,7.95,8.446946898784002,8.367458823529406,
1972,8.4,8.462349575715153,8.385325810324124,
1973,8.35,8.477752252646306,8.403192797118843,
1974,8.15,8.493154929577459,8.42105978391356,
1975,8.11,8.508557606508612,8.438926770708278,
1976,8,8.523960283439763,8.456793757502997,
1977,8.88,8.539362960370916,8.474660744297715,
1978,8.96,8.554765637302069,8.492527731092432,
1979,8.99,8.570168314233221,8.51039471788715,
1980,8.72,8.585570991164374,8.528261704681869,
1981,8.76,8.600973668095525,8.546128691476587,
1982,8.86,8.616376345026678,8.563995678271304,
1983,8.89,8.631779021957831,8.581862665066023,
1984,8.2,8.647181698888984,8.599729651860741,
1985,8.75,8.662584375820135,8.61759663865546,
1986,8.48,8.677987052751288,8.635463625450177,
1987,8.86,8.69338972968244,8.653330612244895,
1988,8.63,8.708792406613593,8.671197599039614,
1989,8.7,8.724195083544746,8.689064585834332,
1990,8.67,8.739597760475897,8.706931572629049,
1991,8.49,8.75500043740705,8.724798559423768,8.65916129032259
1992,8.34,8.770403114338203,8.742665546218486,8.68025361512793
1993,8.79,8.785805791269356,8.760532533013205,8.701345939933267
1994,9.06,8.801208468200507,8.778399519807921,8.722438264738607
1995,8.84,8.81661114513166,8.79626650660264,8.743530589543946
1996,8.74,8.832013822062812,8.814133493397359,8.764622914349284
1997,9.03,8.847416498993965,8.832000480192077,8.785715239154623
1998,9.48,8.862819175925118,8.849867466986794,8.80680756395996
1999,8.9,8.878221852856269,8.867734453781512,8.8278998887653
2000,8.42,8.893624529787422,8.885601440576231,8.84899221357064
2001,8.73,8.909027206718575,8.90346842737095,8.870084538375977
2002,8.53,8.924429883649728,8.921335414165668,8.891176863181316
2003,9.19,8.939832560580879,8.939202400960385,8.912269187986656
2004,9.26,8.955235237512031,8.957069387755103,8.933361512791993
2005,8.79,8.970637914443184,8.974936374549822,8.954453837597333
2006,9.21,8.986040591374337,8.992803361344539,8.97554616240267
2007,8.46,9.00144326830549,9.010670348139257,8.99663848720801
2008,9.03,9.016845945236641,9.028537334933976,9.01773081201335
2009,8.89,9.032248622167794,9.046404321728694,9.038823136818687
2010,8.62,9.047651299098947,9.064271308523413,9.059915461624026
2011,8.83,9.0630539760301,9.08213829531813,9.081007786429366
2012,9.09,9.078456652961252,9.100005282112848,9.102100111234703
2013,9.15,9.093859329892403,9.117872268907567,9.123192436040043
2014,8.97,9.109262006823556,9.135739255702285,9.14428476084538
2015,9.35,9.124664683754709,9.153606242497002,9.16537708565072
2016,9.66,9.140067360685862,9.17147322929172,9.18646941045606
2017,9.16,9.155470037617013,9.189340216086439,9.207561735261397
2018,9.08,9.170872714548166,9.207207202881158,9.228654060066736
2019,9.43,9.186275391479318,9.225074189675874,9.249746384872076
2020,9.43,9.201678068410471,9.242941176470593,9.270838709677413
2021,9.37,,,
2022,8.72,,,
2023,9.49,,,